L1	L2	species	specimen	oligoID	nSpeciesPerOligo
Bacteroidetes	Bacteroides fragilis et rel.	Bacteroides thetaiotaomicron	uncultured Bacteroides sp. NS4E5	HIT 2029	6
Bacteroidetes	Bacteroides fragilis et rel.	Bacteroides thetaiotaomicron	uncultured Bacteroides sp. NS4E5	HIT 2030	6
Bacteroidetes	Bacteroides fragilis et rel.	Bacteroides thetaiotaomicron	uncultured Bacteroides sp. NS4E5	HIT 2031	4
Bacteroidetes	Bacteroides fragilis et rel.	Bacteroides thetaiotaomicron	uncultured Bacteroides sp. NS4E5	HIT 3218	6
Bacteroidetes	Bacteroides fragilis et rel.	Bacteroides thetaiotaomicron	uncultured Bacteroides sp. NS4E5	HIT 4645	6
Bacteroidetes	Bacteroides fragilis et rel.	Bacteroides thetaiotaomicron	uncultured Bacteroides sp. NS4E5	HIT 4646	4
Bacteroidetes	Bacteroides fragilis et rel.	Bacteroides thetaiotaomicron	uncultured Bacteroides sp. NS4E5	HIT 4647	4
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium LCLC32	uncultured bacterium LCLC32	HIT 2029	6
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium LCLC32	uncultured bacterium LCLC32	HIT 2030	6
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium LCLC32	uncultured bacterium LCLC32	HIT 3218	6
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium LCLC32	uncultured bacterium LCLC32	HIT 3219	2
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium LCLC32	uncultured bacterium LCLC32	HIT 4645	6
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium LCRC79	uncultured bacterium LCRC79	HIT 2029	6
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium LCRC79	uncultured bacterium LCRC79	HIT 2030	6
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium LCRC79	uncultured bacterium LCRC79	HIT 3218	6
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium LCRC79	uncultured bacterium LCRC79	HIT 3219	2
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium LCRC79	uncultured bacterium LCRC79	HIT 4645	6
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium MR34	uncultured bacterium MR34	HIT 2034	6
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium MR34	uncultured bacterium MR34	HIT 2306	7
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium MR34	uncultured bacterium MR34	HIT 2307	8
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium MR34	uncultured bacterium MR34	HIT 2802	8
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium MR34	uncultured bacterium MR34	HIT 4670	7
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium MR34	uncultured bacterium MR34	HIT 4671	9
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium MR34	uncultured bacterium MR34	HIT 4673	2
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium MR34	uncultured bacterium MR34	HIT 4674	3
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium Z091	uncultured bacterium Z091	HIT 2029	6
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium Z091	uncultured bacterium Z091	HIT 2030	6
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium Z091	uncultured bacterium Z091	HIT 2031	4
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium Z091	uncultured bacterium Z091	HIT 3218	6
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium Z091	uncultured bacterium Z091	HIT 4644	2
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium Z091	uncultured bacterium Z091	HIT 4645	6
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium Z091	uncultured bacterium Z091	HIT 4646	4
Bacteroidetes	Bacteroides fragilis et rel.	uncultured bacterium Z091	uncultured bacterium Z091	HIT 4647	4
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	Bacteroides intestinalis	HIT 2478	3
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	Bacteroides intestinalis	HIT 2749	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	Bacteroides intestinalis	HIT 2750	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	Bacteroides intestinalis	HIT 2751	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	Bacteroides intestinalis	HIT 4668	3
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	Bacteroides intestinalis	HIT 6959	2
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium Adhufec009khh	HIT 2753	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium Adhufec009khh	HIT 2754	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium HuAC60	HIT 2749	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium HuAC60	HIT 2750	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium HuAC60	HIT 2751	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium HuCA21	HIT 2749	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium HuCA21	HIT 2750	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium HuCA21	HIT 2751	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium HuCA21	HIT 2753	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium HuCA21	HIT 2754	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium OLDA-A11	HIT 3667	3
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium OLDA-A11	HIT 3668	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium OLDA-A11	HIT 3669	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium OLDA-H10	HIT 2749	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium OLDA-H10	HIT 2750	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium OLDA-H10	HIT 2751	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium P576	HIT 2749	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium P576	HIT 2750	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium P576	HIT 2751	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium P576	HIT 2753	1
Bacteroidetes	Bacteroides intestinalis et rel.	Bacteroides intestinalis	uncultured bacterium P576	HIT 2754	1
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	bacterium adhufec51	HIT 2215	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	bacterium adhufec51	HIT 2216	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	bacterium adhufec51	HIT 2217	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	bacterium adhufec51	HIT 2220	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	Bacteroides caccae	HIT 2220	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	Bacteroides caccae	HIT 43	1
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	Bacteroides caccae	HIT 44	1
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	Bacteroides caccae	HIT 45	1
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	Bacteroides sp. CJ89	HIT 2215	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	Bacteroides sp. CJ89	HIT 2216	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	Bacteroides sp. CJ89	HIT 2217	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	Uncultured bacterium clone Eldhufec052	HIT 2220	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	uncultured bacterium LX65	HIT 2215	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	uncultured bacterium LX65	HIT 2216	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	uncultured bacterium LX65	HIT 2217	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	uncultured bacterium LX65	HIT 2220	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	uncultured Bacteroides sp. NO14	HIT 2215	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	uncultured Bacteroides sp. NO14	HIT 2216	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides caccae	uncultured Bacteroides sp. NO14	HIT 2217	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	Bacteroides ovatus	HIT 2147	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	Bacteroides ovatus	HIT 2148	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	Bacteroides ovatus	HIT 2160	3
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	Bacteroides ovatus	HIT 2919	4
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	Bacteroides ovatus	HIT 31	1
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	Bacteroides ovatus	HIT 32	1
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	uncultured bacterium C077	HIT 2147	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	uncultured bacterium C077	HIT 2148	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	uncultured bacterium C077	HIT 2917	4
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	uncultured bacterium C077	HIT 2918	4
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	uncultured bacterium C077	HIT 2919	4
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	uncultured bacterium cadhufec19a02	HIT 2147	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	uncultured bacterium cadhufec19a02	HIT 2148	2
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	uncultured bacterium OLDC-E6	HIT 2919	4
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	uncultured bacterium OLDC-E6	HIT 31	1
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	uncultured bacterium OLDC-E6	HIT 32	1
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	uncultured Bacteroides sp. NS1B4	HIT 2919	4
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	uncultured Bacteroides sp. NS1B4	HIT 31	1
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides ovatus	uncultured Bacteroides sp. NS1B4	HIT 32	1
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides sp. CS3	Bacteroides sp. CS3	HIT 2917	4
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides sp. CS3	Bacteroides sp. CS3	HIT 2918	4
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides sp. CS3	Bacteroides sp. CS3	HIT 2919	4
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides sp. CS3	uncultured Bacteroides sp. NS2B10	HIT 2917	4
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides sp. CS3	uncultured Bacteroides sp. NS2B10	HIT 2918	4
Bacteroidetes	Bacteroides ovatus et rel.	Bacteroides sp. CS3	uncultured Bacteroides sp. NS2B10	HIT 2919	4
Bacteroidetes	Bacteroides ovatus et rel.	Uncultured bacterium clone Eldhufec030	Uncultured bacterium clone Eldhufec030	HIT 2220	2
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCA34	uncultured bacterium HuCA34	HIT 2034	6
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCA34	uncultured bacterium HuCA34	HIT 2797	1
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCA34	uncultured bacterium HuCA34	HIT 2798	1
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCA34	uncultured bacterium HuCA34	HIT 2799	1
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCA34	uncultured bacterium HuCA34	HIT 2801	2
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCA34	uncultured bacterium HuCA34	HIT 2802	8
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCA34	uncultured bacterium HuCA34	HIT 4655	2
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCA34	uncultured bacterium HuCA34	HIT 4656	2
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCA34	uncultured bacterium HuCA34	HIT 4660	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium ABLC14	HIT 2917	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium ABLC14	HIT 2918	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium ABLC14	HIT 2919	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium cadhufec18f11	HIT 2800	2
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium cadhufec18f11	HIT 2802	8
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium cadhufec18f11	HIT 2922	3
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium cadhufec18f11	HIT 4660	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium HuAC43	HIT 2917	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium HuAC43	HIT 2918	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium HuAC43	HIT 2919	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium HuCC30	HIT 2802	8
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium HuCC30	HIT 2917	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium HuCC30	HIT 2918	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium HuCC30	HIT 2919	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium HuCC30	HIT 2921	1
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium HuCC30	HIT 2922	3
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium LC20	HIT 2800	2
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium LC20	HIT 2802	8
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium LC20	HIT 2917	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium LC20	HIT 2918	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium LC20	HIT 2919	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium LC20	HIT 2922	3
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium HuCC30	uncultured bacterium LC20	HIT 4660	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium LCLC24	uncultured bacterium LCLC24	HIT 2215	2
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium LCLC24	uncultured bacterium LCLC24	HIT 2216	2
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium LCLC24	uncultured bacterium LCLC24	HIT 2217	2
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium LCLC24	uncultured bacterium LCTI21	HIT 2215	2
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium LCLC24	uncultured bacterium LCTI21	HIT 2216	2
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium LCLC24	uncultured bacterium LCTI21	HIT 2217	2
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NC94	uncultured bacterium NC94	HIT 2034	6
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NC94	uncultured bacterium NC94	HIT 2801	2
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NC94	uncultured bacterium NC94	HIT 2802	8
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NC94	uncultured bacterium NC94	HIT 4651	1
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NC94	uncultured bacterium NC94	HIT 4652	1
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NC94	uncultured bacterium NC94	HIT 4653	1
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NC94	uncultured bacterium NC94	HIT 4655	2
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NC94	uncultured bacterium NC94	HIT 4656	2
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NC94	uncultured bacterium NC94	HIT 4660	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NP35	uncultured bacterium NP35	HIT 2029	6
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NP35	uncultured bacterium NP35	HIT 2030	6
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NP35	uncultured bacterium NP35	HIT 2031	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NP35	uncultured bacterium NP35	HIT 2034	6
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NP35	uncultured bacterium NP35	HIT 2802	8
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NP35	uncultured bacterium NP35	HIT 3218	6
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NP35	uncultured bacterium NP35	HIT 4645	6
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NP35	uncultured bacterium NP35	HIT 4646	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NP35	uncultured bacterium NP35	HIT 4647	4
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NP35	uncultured bacterium NP35	HIT 4661	1
Bacteroidetes	Bacteroides ovatus et rel.	uncultured bacterium NP35	uncultured bacterium NP35	HIT 4662	1
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	bacterium adhufec367	HIT 13	10
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	bacterium adhufec367	HIT 14	10
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	bacterium adhufec367	HIT 15	14
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	bacterium adhufec367	HIT 2158	2
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	bacterium adhufec367	HIT 2159	2
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	bacterium adhufec367	HIT 2160	3
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	bacterium adhufec367	HIT 6845	2
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	Uncultured bacterium clone Eldhufec046	HIT 2158	2
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	Uncultured bacterium clone Eldhufec046	HIT 2159	2
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	Uncultured bacterium clone Eldhufec046	HIT 2160	3
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	Uncultured bacterium clone Eldhufec046	HIT 6845	2
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	uncultured bacterium HuAC72	HIT 13	10
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	uncultured bacterium HuAC72	HIT 14	10
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	uncultured bacterium HuAC72	HIT 15	14
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	uncultured bacterium OLDA-F1	HIT 13	10
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	uncultured bacterium OLDA-F1	HIT 14	10
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	uncultured bacterium OLDA-F1	HIT 15	14
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	uncultured bacterium UC7-16	HIT 13	10
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	uncultured bacterium UC7-16	HIT 14	10
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	uncultured bacterium UC7-16	HIT 15	14
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	uncultured bacterium UC7-16	HIT 2158	2
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	uncultured bacterium UC7-16	HIT 2160	3
Bacteroidetes	Bacteroides plebeius et rel.	bacterium adhufec367	uncultured bacterium UC7-16	HIT 3965	1
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	Bacteroides coprocola	HIT 1975	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	Bacteroides coprocola	HIT 1976	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	Bacteroides coprocola	HIT 27	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	Bacteroides coprocola	HIT 4622	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	Bacteroides coprocola	HIT 4623	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	Bacteroides coprocola	HIT 4630	2
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	Bacteroides coprocola	HIT 4631	2
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	Bacteroides coprocola	HIT 4632	2
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	Bacteroides sp. CB2	HIT 1975	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	Bacteroides sp. CB2	HIT 1976	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	Bacteroides sp. CB2	HIT 27	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	Bacteroides sp. CB2	HIT 4622	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	Bacteroides sp. CB2	HIT 4623	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	Uncultured bacterium clone Eldhufec026	HIT 4630	2
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	Uncultured bacterium clone Eldhufec026	HIT 4631	2
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	Uncultured bacterium clone Eldhufec026	HIT 4632	2
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	uncultured bacterium NK86	HIT 1975	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	uncultured bacterium NK86	HIT 1976	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	uncultured bacterium NK86	HIT 27	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	uncultured bacterium NK86	HIT 4622	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	uncultured bacterium NK86	HIT 4623	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	uncultured bacterium NK86	HIT 4630	2
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	uncultured bacterium NK86	HIT 4631	2
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	uncultured bacterium NK86	HIT 4632	2
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	uncultured Bacteroides sp. NB2E11	HIT 1975	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	uncultured Bacteroides sp. NB2E11	HIT 1976	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	uncultured Bacteroides sp. NB2E11	HIT 27	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	uncultured Bacteroides sp. NB2E11	HIT 4622	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides coprocola	uncultured Bacteroides sp. NB2E11	HIT 4623	3
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec151	HIT 1969	4
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec151	HIT 1971	4
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec151	HIT 1973	1
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec151	HIT 1974	1
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec151	HIT 4633	4
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec151	HIT 4637	1
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec151	HIT 4638	1
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec26.25	HIT 1969	4
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec26.25	HIT 1971	4
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec26.25	HIT 1973	1
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec26.25	HIT 1974	1
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec26.25	HIT 2570	4
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec26.25	HIT 2571	4
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec26.25	HIT 4633	4
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec26.25	HIT 4634	4
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec26.25	HIT 4635	4
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec26.25	HIT 4637	1
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	bacterium adhufec26.25	HIT 4638	1
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	Bacteroides plebeius	HIT 1974	1
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	Bacteroides plebeius	HIT 2571	4
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	Bacteroides plebeius	HIT 4635	4
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	Bacteroides plebeius	HIT 4638	1
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	uncultured bacterium C703	HIT 1969	4
Bacteroidetes	Bacteroides plebeius et rel.	Bacteroides plebeius	uncultured bacterium C703	HIT 1971	4
